label,parameter,unit,step,component,value,source,source_link
interest_rate,Interest rate,%,Project Setup,,4.2,World Bank: Lending interest rate (%). 2024,https://data.worldbank.org/indicator/FR.INR.LEND
connection_cost,Connection cost,EUR/con,Grid Design,,3.0,Provincial Electricity Authority Thailand,
distribution_cable_lifetime,Lifetime,a,Grid Design,Distribution Cable,25.0,ELEK: Estimating Cable Life Expectancy.,https://elek.com/articles/estimating-cable-life-expectancy/
distribution_cable_capex,CapEx,EUR/m,Grid Design,Distribution Cable,13.0,Rocky Mountain Institute: Minigrids in the Money: Six Ways to Reduce Minigrid Costs by 60% for Rural Electrification: 2018,https://rmi.org/wp-content/uploads/2018/12/rmi-seeds-minigrid-report.pdf
distribution_cable_max_length,Max. length,m,Grid Design,Distribution Cable,50.0,OGP Nigeria,
connection_cable_lifetime,Lifetime,a,Grid Design,Connection Cable,25.0,ELEK: Estimating Cable Life Expectancy.,https://elek.com/articles/estimating-cable-life-expectancy/
connection_cable_capex,CapEx,EUR/m,Grid Design,Connection Cable,3.5,OGP Nigeria,
connection_cable_max_length,Max. length,m,Grid Design,Connection Cable,20.0,OGP Nigeria,
pole_lifetime,Lifetime,a,Grid Design,Pole,25.0,OGP Nigeria,
pole_capex,CapEx,EUR/m,Grid Design,Pole,676.0,OGP Nigeria,
pole_max_number_of_connections,Max. number of connections,-,Grid Design,Pole,5.0,OGP Nigeria,
diesel_genset_lifetime,Lifetime,a,Energy System Design,Diesel Genset,8.0,Rocky Mountain Institute: Minigrids in the Money: Six Ways to Reduce Minigrid Costs by 60% for Rural Electrification: 2018,https://rmi.org/wp-content/uploads/2018/12/rmi-seeds-minigrid-report.pdf
diesel_genset_capex,CapEx,EUR/kW,Energy System Design,Diesel Genset,500.0,Gabriel Veilleux et al.: Techno-economic analysis of microgrid projects for rural electrification: A systematic approach to the redesign of Koh Jik off-grid case study. 2020,https://linkinghub.elsevier.com/retrieve/pii/S0973082619309160
diesel_genset_opex_variable,OpEx variable,EUR/kWh,Energy System Design,Diesel Genset,0.02,NREL: Tariff Considerations for Micro-Grids in Sub-Saharan Africa. 2018,https://docs.nrel.gov/docs/fy18osti/69044.pdf
diesel_genset_opex_fixed,OpEx fixed,EUR/kW*a,Energy System Design,Diesel Genset,21.0,NREL: Tariff Considerations for Micro-Grids in Sub-Saharan Africa. 2018,https://docs.nrel.gov/docs/fy18osti/69044.pdf
diesel_genset_fuel_cost,Fuel cost,EUR/l,Energy System Design,Diesel Genset,0.81,Global Petrol Prices: Thailand Diesel Prices. 2026,https://www.globalpetrolprices.com/Thailand/diesel_prices/
diesel_genset_fuel_lhv,Fuel LHV,kWh/kg,Energy System Design,Diesel Genset,11.8,Gammel: Heating value - Calorific value. 2026,https://gammel.de/en/energy-glossary/heating-value-calorific-value-4838
diesel_genset_minimum_efficiency,Minimum efficiency,%,Energy System Design,Diesel Genset,22.0,OGP Nigeria,
diesel_genset_maximum_efficiency,Maximum efficiency,%,Energy System Design,Diesel Genset,30.0,OGP Nigeria,
diesel_genset_minimum_load,Minimum load,%,Energy System Design,Diesel Genset,25.0,HOMER Energy,
diesel_genset_maximum_load,Maximum load,%,Energy System Design,Diesel Genset,100.0,,
battery_lifetime,Lifetime,a,Energy System Design,Battery,10.0,ENTEC: Study on Energy Storage. 2022,https://www.google.com/url?sa=i&source=web&rct=j&url=https://refman.energytransitionmodel.com/publications/2162&ved=2ahUKEwjpzfCG7uKSAxX4BNsEHcv2NK4Qy_kOegQIARAB&opi=89978449&cd&psig=AOvVaw3UaIXvQkUhvb-BL4KH7bxu&ust=1771497894152000
