label,verbose,unit,
n_poles,Number of Poles,
n_consumers,Number of grid-connected Consumers,
n_shs_consumers,Number of SHS Consumers,
length_distribution_cable,Distribution Cable Length,m
average_length_distribution_cable,Average Length Distribution Cable,m
length_connection_cable,Connection Cable Length,m
average_length_connection_cable,Average Length Connection Cable,m
cost_grid,Grid annualized Cost,currency/a
lcoe,Levelized Cost of Electricity (w/o SHS),cent/kWh
lcoe_share_grid,Share of Grid-Related Costs in the LCOE,%
lcoe_share_supply,Share of Generation-Related Costs in LCOE,%
res,Renewable Energy Share,%
max_voltage_drop,Max. Voltage drop,%
shortage_total,Total annual Shortage,%
surplus_rate,Total annual Surplus,%
surplus_total_kwh,Total annual Surplus,kWh
time,Total simulation time,s
co2_savings,Annual CO2 savings,t/a
total_annual_consumption,Total annual Consumption,kWh/a
average_annual_demand_per_consumer,Annual average Demand per Consumer,kWh
upfront_invest_grid,Grid upfront Investment Cost,currency
upfront_invest_diesel_genset,Diesel Generator upfront Investment Cost,currency
upfront_invest_inverter,Inverter upfront Investment Cost,currency
upfront_invest_rectifier,Rectifier upfront Investment Cost,currency
upfront_invest_battery,Battery upfront Investment Cost,currency
upfront_invest_pv,PV upfront Investment Cost,currency
upfront_invest_h2_storage,H2 Storage upfront Investment Cost,currency
upfront_invest_fuel_cell,Fuel cell upfront Investment Cost,currency
upfront_invest_electrolyzer,Electrolyzer upfront Investment Cost,currency
upfront_invest_total,Total upfront Investment Cost,currency
battery_capacity,Capacity Battery,kWh
pv_capacity,Capacity PV,kWp
diesel_genset_capacity,Capacity Diesel Generator,kW
inverter_capacity,Capacity Inverter,kW
rectifier_capacity,Capacity Rectifier,kW
h2_storage_capacity,Capacity H2 Storage,kWh
electrolyzer_capacity,Capacity Electrolyzer,kW
fuel_cell_capacity,Capacity Fuel Cell,kW
co2_emissions,Annual CO2 Emissions,t/a
fuel_consumption,Annual Fuel Consumption,liter/a
peak_demand,Peak Demand,kW
base_load,Base Load,kW
max_shortage,Max. Shortage per Time Step,%
cost_fuel,Annual fuel cost,currency/a
epc_pv,PV annualized Cost,currency/a
epc_diesel_genset,Diesel Generator annualized Cost,currency/a
epc_inverter,Inverter annualized Cost,currency/a
epc_rectifier,Rectifier annualized Cost,currency/a
epc_battery,Battery annualized Cost,currency/a
epc_h2_storage,H2 Storage annualized Cost,currency/a
epc_electrolyzer,Electrolyzer annualized Cost,currency/a
epc_fuel_cell,Fuel cell annualized Cost,currency/a
epc_total,Total annualized Cost,currency/a
h2_production_kg,Total hydrogen produced,kg
operation_hours_battery,Battery operation hours,h
operation_hours_electrolyzer,Electrolyzer operation hours,h
operation_hours_fuel_cell,Fuel cell operation hours,h
